#,command,apropos
76,"TIFFSetDirectory(3tiff), TIFFSetSubDirectory(3tiff) ", set the current directory for an open TIFF file
77,"TIFFSetField(3tiff), TIFFVSetField(3tiff) ", set the value(s) of a tag in a TIFF file open for writing
78,"TIFFWarning(3tiff), TIFFSetWarningHandler(3tiff) ", library warning interface
79,"TIFFWriteDirectory(3tiff), TIFFRewriteDirectory(3tiff), TIFFCheckpointDirectory(3tiff) ", write the current directory in an open TIFF file
80,"TIFFWriteEncodedStrip(3tiff), TIFFWritedEncodedStrip(3tiff) ", compress and write a strip of data to an open TIFF file
81,"TIFFWriteEncodedTile(3tiff), TIFFWritedEncodedTile(3tiff) ", compress and write a tile of data to an open TIFF file
82,TIFFWriteRawStrip(3tiff) , write a strip of raw data to an open TIFF file
83,TIFFWriteRawTile(3tiff)  , write a tile of raw data to an open TIFF file
84,TIFFWriteScanline(3tiff) , write a scanline to an open TIFF file
85,TIFFWriteTile(3tiff)     , encode and write a tile of data to an open TIFF file
86,"TIFFbuffer(3tiff), TIFFReadBufferSetup(3tiff), TIFFWriteBufferSetup(3tiff) ", I/O buffering control routines
87,"TIFFcodec(3tiff), TIFFFindCODEC(3tiff), TIFFRegisterCODEC(3tiff), TIFFUnRegisterCODEC(3tiff), TIFFIsCODECConfigured(3tiff) ", codec
88,"TIFFcolor(3tiff), TIFFYCbCrToRGBInit(3tiff), TIFFYCbCrtoRGB(3tiff), TIFFCIELabToRGBInit(3tiff), TIFFCIELabToXYZ(3tiff), TIFFXYZToRGB(3tiff) ", color conversion routines
89,"TIFFmemory(3tiff), _TIFFmalloc(3tiff), c _TIFFrealloc(3tiff), c _TIFFfree(3tiff), c _TIFFmemset(3tiff), c _TIFFmemcpy(3tiff), c _TIFFmemcmp(3tiff), c(3tiff) ", memory management
90,"TIFFquery(3tiff), TIFFCurrentRow(3tiff), TIFFCurrentStrip(3tiff), TIFFCurrentTile(3tiff), TIFFCurrentDirectory(3tiff), TIFFLastDirectory(3tiff), TIFFFileno(3tiff), TIFFFileName(3tiff), TIFFGetMode(3tiff), TIFFIsTiled(3tiff), TIFFIsByteSwapped(3tiff), TIFFIsUpSampled(3tiff), TIFFIsMSB2LSB(3tiff), TIFFGetVersion(3tiff) ", query routines
91,"TIFFsize(3tiff), TIFFScanlineSize(3tiff), TIFFRasterScanlineSize(3tiff) ", return the size of various items associated with an open TIFF file
92,"TIFFstrip(3tiff), TIFFDefaultStripSize(3tiff), TIFFStripSize(3tiff), TIFFVStripSize(3tiff), TIFFRawStripSize(3tiff), TIFFComputeStrip(3tiff), TIFFNumberOfStrips(3tiff) ", strip
93,"TIFFswab(3tiff), TIFFGetBitRevTable(3tiff), TIFFReverseBits(3tiff), TIFFSwabShort(3tiff), TIFFSwabLong(3tiff), TIFFSwabArrayOfShort(3tiff), TIFFSwabArrayOfLong(3tiff) ", byte
94,"TIFFtile(3tiff), TIFFTileSize(3tiff), TIFFTileRowSize(3tiff), TIFFVTileSize(3tiff), TIFFDefaultTileSize(3tiff), TIFFComputeTile(3tiff), TIFFCheckTile(3tiff), TIFFNumberOfTiles(3tiff) ", tile
95,Term::ReadLine(3)        ," Perl interface to various ""readline"" packages. If no real package is found, substitutes stubs instead of basic functions"
96,UNLISTEN(7)              , stop listening for a notification
97,Unicode::Collate::CJK::Big5(3) , weighting CJK Unified Ideographs for Unicode::Collate
98,Unicode::Collate::CJK::GB2312(3) , weighting CJK Unified Ideographs for Unicode::Collate
99,Unicode::Collate::CJK::Korean(3) , weighting CJK Unified Ideographs for Unicode::Collate
100,Unicode::Collate::CJK::Pinyin(3) , weighting CJK Unified Ideographs for Unicode::Collate
101,Unicode::Collate::CJK::Stroke(3) , weighting CJK Unified Ideographs for Unicode::Collate
102,Unicode::Collate::CJK::Zhuyin(3) , weighting CJK Unified Ideographs for Unicode::Collate
103,ares_set_local_dev(3)    , Bind to a specific network device when creating sockets
104,dane_verification_status_print(3) , API function
105,dane_verify_crt(3)       , API function
106,dane_verify_crt_raw(3)   , API function
107,dane_verify_session_crt(3) , API function
